Orgulho e Preconceito (1813), Jane Austen
O Senhor dos Anéis (1954), J. R. R. Tolkien
Jane Eyre (1847), Charlotte Brontë
Harry Potter e a Pedra Filosofal (1997), J. K. Rowling
O Sol é Para Todos (1960), Harper Lee
Bíblia Sagrada
O Morro dos Ventos Uivantes (1847), Emily Brontë
1984 (1949), George Orwell
Kit Fronteiras do Universo, Philip Pullman (1995-2000)
Grandes Esperanças (1861), Charles Dickens
Mulherzinhas (1869), Louisa May Alcott
Tess dos D’Urbervilles (1892), Thomas Hardy
Ardil-22 (1961), Joseph Heller
A Peste (1947), Albert Camus
Rebecca: a Mulher Inesquecível (1938), Daphne du Maurier
O Hobbit (1937), J. R. R. Tolkien
O Canto do Pássaro (1993), Sebastian Faulks
O Apanhador no Campo de Centeio (1951), J. D. Salinger
A Mulher do Viajante no Tempo (2003), Audrey Niffenegger
Middlemarch: Um Estudo da Vida na Província (1871), George Eliot
E o Vento Levou (1936), Margaret Mitchell
O Grande Gatsby (1925), F. Scott Fitzgerald
A Casa Soturna (1853), Charles Dickens
Guerra e Paz (1867), Lev Tolstói
O Guia do Mochileiro das Galáxias (1979), Douglas Adams
Reviver o Passado em Brideshead (1945), Evelyn Waugh
Crime e Castigo (1866), Fiódor Dostoiévski
As Vinhas da Ira (1939), John Steinbeck
Alice no País das Maravilhas (1865), Lewis Carroll
O Vento nos Salgueiros (1908), Kenneth Grahame
Anna Kariênina (1877), Lev Tolstói
David Copperfield (1850), Charles Dickens
Nada de Novo no Front (1929), Erich Maria Remarque
Emma (1815), Jane Austen
Persuasão (1817), Jane Austen
O Leão, a Feiticeira e o Guarda-Roupa (1950), C. S Lewis
O Caçador de Pipas (2003), Khaled Hosseini
O Bandolim de Corelli (1994), Louis de Bernières
Memórias de uma Gueixa (1997), Arthur Golden
Ursinho Pooh (1921), Alan Alexander Milne
A Revolução dos Bichos (1945), George Orwell
O Código Da Vinci (2006), Dan Brown
Cem Anos de Solidão (1967), Gabriel García Márquez
Folhas de Relva (1855), Walt Whitman
A Mulher de Branco (1860), Wilkie Collins
Anne de Green Gables (1908), Lucy Maud Montgomery
Longe Deste Insensato Mundo (1874), Thomas Hardy
O Conto da Aia (1985), Margaret Atwood
O Senhor das Moscas (1954), William Golding
Reparação (2001), Ian McEwan
A Vida de Pi (2001), Yann Martel
Duna (1965), Frank Herbert
Fazenda Maldita (1932), Stella Gibbons
Razão e Sensibilidade (1811), Jane Austen
Um Rapaz Adequado (1993), Vikram Seth
A Sombra do Vento (2001), Carlos Ruiz Zafón
Um Conto de Duas Cidades (1859), Charles Dickens
Admirável Mundo Novo (1932), Aldous Huxley
O Estranho Caso do Cachorro Morto (2003), Mark Haddon
O Amor nos Tempos do Cólera (1985), Gabriel García Márquez
Ratos e Homens (1937), John Steinbeck
Lolita (1955), Vladimir Nabokov
A História Secreta (1992), Donna Tartt
Rumo ao Farol (1927) Virginia Woolf
O Conde de Monte Cristo (1845), Alexandre Dumas
On the Road (1957), Jack Kerouac
Judas, O Obscuro (1895), Thomas Hardy
O Diário de Bridget Jones (1996), Helen Fielding
Os Filhos da Meia-Noite (1981), Salman Rushdie
Moby Dick (1851), Herman Melville
Oliver Twist (1838), Charles Dickens
Drácula (1897), Bram Stoker
O Jardim Secreto (1911), Frances Hodgson Burnett
Crónicas de Uma Pequena Ilha (1995), Bill Bryson
Ulisses (1922), James Joyce
A Redoma de Vidro (1963), Sylvia Plath
Pergunte ao Pó (1939), John Fante
Germinal (1885), Émile Zola
A Feira das Vaidades (1847), William Makepeace Thackeray
Possessão (1992), Antonia Susan Byatt
Um Conto de Natal (1843), Charles Dickens
Atlas das Nuvens (2004), David Mitchell
A Cor Púrpura (1982), Alice Walker
Os Vestígios do Dia (1989), Kazuo Ishiguro
Madame Bovary (1856), Gustave Flaubert
Memórias de Adriano (1951), Marguerite Yourcenar
A Teia de Charlotte (1952), Elwyn Brooks White
As Cinco Pessoas que Você Encontra no Céu (2003), Mitch Albom
As Aventuras de Sherlock Holmes (1892), Arthur Conan Doyle
A Casa da Árvore Oca (1939-1951), Enid Blyton
Coração das Trevas (1899) Joseph Conrad
O Pequeno Príncipe (1943), Antoine de Saint-Exupéry
Fábrica de Vespas (1984), Iain M. Banks
Em Busca de Watership Down (1972), Richard Adams
Uma Confraria de Tolos (1980), John Kennedy Toole
A Náusea (1938), Jean-Paul Sartre
Os Três Mosqueteiros (1844), Alexandre Dumas
Hamlet (1609), William Shakespeare
A Fantástica Fábrica de Chocolate (1964), Roald Dahl
Os Miseráveis (1962), Victor Hugo
